alert_id,source_system,source_alert_id,alert_name,severity,severity_label,status,customer_name,device_name,host,alert_category,is_duplicate,is_resolution,fingerprint,incident_id,occurred_at,ingested_at,description,quantitative_data,extra_data,bronze_id,host_state,host_country,duplicate_count
c76c7441-f4d5-40c5-a1f0-19668fd08223,ncentral,472448086,Memory,3,Warning,Warning,Wyffels,AmesUtility,10.0.4.6,server,False,False,3694a996e76febaed0d2a01dddfe5f2782d5b659942435a4584f26c0c70145bc,,2025-07-23 21:43:41+00:00,2026-03-14 19:55:36.249246+00:00,"Total Physical Memory: 16.14 GB
Used Physical Memory: 6.62 GB
Physical Memory Usage: 98.00 %",{'raw_quantitative_state': 'Total Physical Memory: 16.14 GB\nUsed Physical Memory: 6.62 GB\nPhysical Memory Usage: 98.00 %'},"{'new_state': 'Warning', 'old_state': 'Normal', 'probe_uri': '10.0.4.6', 'task_ident': '', 'trigger_id': '472448086', 'service_org': 'DYOPATH', 'ncentral_uri': 'ncod524.n-able.com'}",1124,Western Cape,South Africa,1
925bcae0-1945-4bc8-9b51-a34ef3a7321b,auvik,e725dea8433941bc9ba8f46292dc824d,Access Point Offline,3,Warning,Triggered,Ambient Enterprises DMG San Luis Obispo,asa5515x-01.kslinc.net,asa5515x-01.kslinc.net,device,False,False,2ddac2ccf505f2b307736cea3d3f3a2da77ecfa966e7e3e6bcbf0c082cd7ec17,,2026-01-04 21:48:43.382623+00:00,2026-03-14 19:55:36.249246+00:00,This network element has gone offline   Ubiquiti U6+,{},"{'alert_url': 'https://auvik.example.com/alert/e725dea8433941bc9ba8f46292dc824d/summary', 'entity_id': 'd274081e-d5db-4305-a091-28b259049709', 'company_id': '1083819129238950653', 'entity_type': 'device', 'correlation_id': '5078d134f70447c6849cade327cfb2e7'}",1125,Minas Gerais,Brazil,1
c2d6fa4c-3a55-4622-8e1b-1707d6874f4b,ncentral,306742749,Agent Status,1,Failed,Failed,Wedgewood Pharmacy,LBTAMAG01,10.108.6.90,server,False,False,486b5aff8d751f4dc923c3b3198167dc1d31d1d903510de352f3e87b43375bfb,,2026-02-01 01:30:26+00:00,2026-03-14 19:59:39.080683+00:00,Agent check-in interval: 0.00 sec,{'raw_quantitative_state': 'Agent check-in interval: 0.00 sec'},"{'new_state': 'Failed', 'old_state': 'Normal', 'probe_uri': '10.108.6.90', 'task_ident': '', 'trigger_id': '306742749', 'service_org': 'DYOPATH', 'ncentral_uri': 'ncod524.n-able.com'}",604,Dublin,Ireland,1
0e647dfa-d7f9-4588-ab70-82a6231d1578,ncentral,495827247,Windows Event Log,1,Failed,Failed,Ocean Point Terminals (LTB),GlacierVmProd2,10.10.6.6,server,False,False,1d2f6fc01bce2a62373ffdea3262794cca10c13ce0b09834c857a4a9eb5ec3ae,,2024-12-15 03:06:56+00:00,2026-03-14 19:55:36.249246+00:00,"Event Log Module Status: 0
Source: NETLOGON
Event ID: 5805
Event Log Type: error
Event Description: Domain controller connectivity issue detected.",{'raw_quantitative_state': 'Event Log Module Status: 0\nSource: NETLOGON\nEvent ID: 5805\nEvent Log Type: error\nEvent Description: Domain controller connectivity issue detected.'},"{'new_state': 'Failed', 'old_state': 'Normal', 'probe_uri': '10.10.6.6', 'task_ident': 'AD (System Log)', 'trigger_id': '495827247', 'service_org': 'DYOPATH', 'ncentral_uri': 'ncod524.n-able.com'}",1126,Gauteng,South Africa,1
06dd759d-2ad5-4990-898b-0d306bb408be,auvik,3770d99552eb457f8f98348b08c305df,Interface Status Mismatch,3,Warning,Triggered,Hanover Company Azure,asa5515x-01.kslinc.net,asa5515x-01.kslinc.net,interface,False,False,3f20408405ba770490106a14d2fa5a46ad67167fd138b86923b570b413e24a73,,2025-01-08 15:25:04.670901+00:00,2026-03-14 19:55:36.249246+00:00,Interface has gone Down. Administrative status is Up.,{},"{'alert_url': 'https://auvik.example.com/alert/3770d99552eb457f8f98348b08c305df/summary', 'entity_id': '9b3e0a58-deb7-4332-b45f-e3de50d2c7bc', 'company_id': '748793047432794877', 'entity_type': 'interface', 'correlation_id': '4a2012951c574456908f381e16a4974b'}",1127,Vestland,Norway,1
6ce6e15f-9b54-403f-8604-29053caaa98b,ncentral,642374589,CPU,3,Warning,Warning,Ambient Enterprises > Ambient Enterprises HCN (HAR),LBTAMAG01,10.108.6.90,server,False,False,322856e77aed2d98daa32ba6bc774f090193de28e62db31d8719aa2d91b10325,,2024-07-20 05:20:08+00:00,2026-03-14 19:55:36.249246+00:00,"CPU Usage: 90.00 %
Top Process 1: MsMpEng
Top Process 2: SentinelAgent
CPU Usage for Process 1: 26.00 %",{'raw_quantitative_state': 'CPU Usage: 90.00 %\nTop Process 1: MsMpEng\nTop Process 2: SentinelAgent\nCPU Usage for Process 1: 26.00 %'},"{'new_state': 'Warning', 'old_state': 'Normal', 'probe_uri': '10.108.6.90', 'task_ident': '', 'trigger_id': '642374589', 'service_org': 'DYOPATH', 'ncentral_uri': 'ncod524.n-able.com'}",1128,Osaka,Japan,1
1c59465f-938b-43ec-a250-10e4b36d5e2f,meraki,653780827599703117,Uplink status changed,2,critical,Triggered,Ambient Enterprises - Johnson Barrow,MH-BoiseOffice-MX,MH-BoiseOffice-MX,network,False,False,0f554a9cb35f9194120b4d79679b4fdb31ae36b4ef2d479c256ac8bbf194dd49,,2024-11-15 20:24:08.948046+00:00,2026-03-14 19:55:36.249246+00:00,Uplink status changed,{},"{'app_key': '0a0505127ff98963f1ad4a500b0075dd', 'sent_at': '2024-11-15T20:24:32.948046Z', 'device_mac': '08:f1:b3:77:e2:ec', 'device_url': None, 'network_id': 'L_607985949695032811', 'network_url': None, 'passthrough': {}, 'device_model': 'MX68', 'network_name': ' JB Clackamas', 'alert_type_id': 'uplink_status_change', 'device_serial': 'Q2KY-LGTN-PKCD', 'shared_secret': '', 'source_version': '0.1', 'organization_id': '607985949695019864', 'organization_url': None}",1129,São Paulo,Brazil,1
313f82d8-a5f9-41e0-9e13-0f77d763b9e0,ncentral,743637901,Agent Status,1,Failed,Failed,Signorelli Company,LBTAMAG01,10.108.6.90,server,False,False,67935d8f3499534abd3cf7136704ce4373498930be6e6b172586b10616dbf1ce,,2025-08-30 11:30:46+00:00,2026-03-14 19:55:36.249246+00:00,Agent check-in interval: 0.00 sec,{'raw_quantitative_state': 'Agent check-in interval: 0.00 sec'},"{'new_state': 'Failed', 'old_state': 'Normal', 'probe_uri': '10.108.6.90', 'task_ident': '', 'trigger_id': '743637901', 'service_org': 'DYOPATH', 'ncentral_uri': 'ncod524.n-able.com'}",1130,Canterbury,New Zealand,1
a6831f4c-3ed9-4bb3-924f-f19d027919fe,auvik,5919d80c379545b591f3129419626866,Internet Connection is Lost,1,Emergency,Triggered,HVP SLHV Data Center,dyoOBTdepotsw02,dyoOBTdepotsw02,service,False,False,37d347548e088a750bbad0cce0b6b9de77d27819e0266cea881ed02c7c4d3aa0,,2024-12-29 08:11:43.218421+00:00,2026-03-14 19:55:36.249246+00:00,"The internet connection for this default gateway has been lost

Validate interface status
Contact carrier and verify circuit status
Initiate Crisis management",{},"{'alert_url': 'https://auvik.example.com/alert/5919d80c379545b591f3129419626866/summary', 'entity_id': '8b234df7-34b2-4892-a4c3-ea903664c9b4', 'company_id': '1139449271987278589', 'entity_type': 'service', 'correlation_id': '166ef2a635354436a7acdffffbffb736'}",1131,Utrecht,Netherlands,1
015e739e-9dc7-4ed1-a49e-1bcfaac0f3e9,auvik,10c09c797d3e47c9b81ab09f0926c14c,Access Point Offline,3,Warning,Triggered,HVP SLHV Data Center,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,device,False,False,13b27532f3529fe32ecf0d6919d959b77d1d5b4c6d3815c7e51a70d0e91b0f9b,,2026-02-02 11:06:43.368455+00:00,2026-03-14 19:55:36.249246+00:00,This network element has gone offline   Ubiquiti U6+,{},"{'alert_url': 'https://auvik.example.com/alert/10c09c797d3e47c9b81ab09f0926c14c/summary', 'entity_id': 'efe655e5-e4fe-4ddb-8761-b0abe127351b', 'company_id': '1139449271987278589', 'entity_type': 'device', 'correlation_id': '5e41e2feba5643f887742c9faca1b3ea'}",1132,East Region,Singapore,1
1ffe86f7-ec65-4280-bf37-d7e7998f18a3,auvik,0facfc4b525b4bee8932b2364d7e7edb,Network Element Offline,1,Emergency,Triggered,HVP SLHV Data Center,dyoOBTdepotsw02,dyoOBTdepotsw02,device,False,False,ea920dd0f2982098ed120c3904585f3b018a958e4a4b9dae85000115ff128050,,2026-02-24 12:25:24.506761+00:00,2026-03-14 19:55:36.249246+00:00,"This network element has gone offline   Cisco WS-C3560X

SD Tasks
VPN into client
Validate interface status
Begin crisis management if needed",{},"{'alert_url': 'https://auvik.example.com/alert/0facfc4b525b4bee8932b2364d7e7edb/summary', 'entity_id': '734f6d0b-23bb-4c2f-bb81-a9469530f061', 'company_id': '1139449271987278589', 'entity_type': 'device', 'correlation_id': '9211e225327047eb8e4bf38ad9630081'}",1133,New York,United States,1
