source_system,alert_name,severity,status,customer_name,device_name,host,host_country,host_state,alert_category,is_duplicate,is_resolution,duplicate_count
meraki,Memory,3,Normal,Signorelli Company,LBTAMAG01,192.168.1.85,Israel,Madrid,server,True,True,1
auvik,Network Element Offline,4,Triggered,Ambient Enterprises > Ambient Enterprises HCN (HAR),JB-CLACKAMAS-FW,JB-SEATTLE-FW,Ireland,KwaZulu-Natal,synthetic,True,True,1
ctgan,Client IP conflict detected,3,Triggered,Ambient Enterprises - Johnson Barrow,DMG-SLO-AP02,JB-SEATTLE-FW,Canada,Victoria,synthetic,True,True,1
auvik,Access Point Offline,1,Failed,Synthetic Corp,JB-SEATTLE-FW,JB-SEATTLE-FW,Brazil,Brussels,interface,True,True,1
ncentral,Synthetic CTGAN Alert,4,Triggered,DYOPATH Oakbrook Terrace,MH-BoiseOffice-MX,MH-BoiseOffice-MX,Singapore,Delhi,device,True,True,1
auvik,Uplink status changed,3,Triggered,HVP SLHV Data Center,JB-SEATTLE-FW,10.108.6.90,Denmark,Lazio,synthetic,True,True,1
auvik,Agent Status,3,Triggered,Ambient Enterprises - Johnson Barrow,NJ-EX01,asa5515x-01.kslinc.net,South Africa,England,network,True,True,1
ctgan,Interface Status Mismatch,4,Warning,Hanover Company Azure,LBTAMAG01,192.168.1.85,France,Île-de-France,service,True,True,1
ctgan,Client IP conflict detected,1,Triggered,Ambient Enterprises - Johnson Barrow,JB-SEATTLE-FW,JB-SEATTLE-FW,Singapore,Skåne,network,True,True,1
ctgan,Access Point Offline,3,Triggered,Wedgewood Pharmacy,LBTAMAG01,10.108.6.90,Ireland,Quebec,synthetic,True,True,1
auvik,Network Element Offline,2,Triggered,Hanover Company Azure,AmesUtility,10.10.6.6,Mexico,Flanders,device,True,True,1
ctgan,Synthetic CTGAN Alert,4,Triggered,HVP SLHV Data Center,AmesUtility,10.0.4.6,Italy,West Region,synthetic,True,True,1
ncentral,Windows Event Log,3,Triggered,Ambient Enterprises > Ambient Enterprises HCN (HAR),DMG-SLO-AP02,SyntheticHost,Japan,Alberta,server,True,True,1
ncentral,Network Element Offline,1,Triggered,HVP SLHV Data Center,NJ-EX01,MH-BoiseOffice-MX,Belgium,Osaka,server,True,True,1
auvik,Interface Status Mismatch,1,warning,Ambient Enterprises DMG San Luis Obispo,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,New Zealand,Haifa,interface,True,True,1
ctgan,VPN remote gateway is Lost,3,Triggered,Wedgewood Pharmacy,JB-CLACKAMAS-FW,MH-BoiseOffice-MX,Italy,Sharjah,service,True,True,1
ncentral,Internet Connection is Lost,1,Triggered,Ambient Enterprises - Johnson Barrow,AmesUtility,MH-BoiseOffice-MX,United Kingdom,Alberta,interface,True,True,1
auvik,CPU,3,Triggered,Ambient Enterprises DMG San Luis Obispo,JB-SEATTLE-FW,JB-CLACKAMAS-FW,Mexico,Sharjah,server,True,True,1
ctgan,Memory,4,warning,Ambient Enterprises,DC3,DMG-SLO-AP01,Brazil,Western Australia,interface,True,True,1
meraki,Access Point Offline,4,Triggered,Ambient Enterprises DMG San Luis Obispo,JB-SEATTLE-FW,10.0.4.6,Belgium,Île-de-France,synthetic,True,True,1
ctgan,Uplink status changed,2,Triggered,DYOPATH Oakbrook Terrace,JB-SEATTLE-FW,JB-CLACKAMAS-FW,Brazil,Maharashtra,synthetic,True,True,1
ctgan,VPN remote gateway is Lost,4,Failed,Ambient Enterprises - Johnson Barrow,LBTAMAG01,192.168.1.85,India,Flanders,synthetic,True,True,1
ctgan,Synthetic CTGAN Alert,1,Warning,Wyffels,JB-SEATTLE-FW,DMG-SLO-AP01,Spain,Kyoto,service,True,True,1
ncentral,Network Element Offline,3,Triggered,Ambient Enterprises,dyo-sch-fw01a,MH-BoiseOffice-MX,Canada,Hokkaido,network,True,True,1
auvik,Memory,3,Triggered,DYOPATH Oakbrook Terrace,DMG-SLO-AP02,10.0.1.24,United States,New York,server,True,True,1
meraki,Interface Status Mismatch,4,critical,HVP SLHV Data Center,DMG-SLO-AP02,JB-SEATTLE-FW,New Zealand,Texas,service,True,True,1
ncentral,Internet Connection is Lost,4,critical,Signorelli Company,LBTAMAG01,10.10.6.6,Canada,Seoul,device,True,True,1
auvik,Disk,3,Failed,Wedgewood Pharmacy,dyoOBTdepotsw02,10.10.6.6,Netherlands,Flanders,server,True,True,1
ncentral,VPN remote gateway is Lost,1,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),dpOBTlabsw01,10.0.1.24,Spain,Ontario,server,True,True,1
meraki,Synthetic CTGAN Alert,4,Triggered,Synthetic Corp,GlacierVmProd2,DMG-SLO-AP01,India,Central Region,synthetic,True,True,1
